Name	sR	sG	sB
PANTONE 10257 C	109	138	171
PANTONE 10258 C	92	128	169
PANTONE 10259 C	75	117	167
PANTONE 10260 C	58	106	166
PANTONE 10261 C	39	94	163
PANTONE 10262 C	140	154	163
PANTONE 10263 C	118	139	153
PANTONE 10264 C	100	126	144
PANTONE 10265 C	83	115	134
PANTONE 10266 C	67	102	124
PANTONE 10267 C	52	90	113
PANTONE 10431 C	133	160	168
PANTONE 10432 C	95	125	139
PANTONE 10433 C	0	116	151
PANTONE 10434 C	0	96	131
PANTONE 10435 C	115	121	130
PANTONE 10436 C	104	111	116
PANTONE 10268 C	117	153	174
PANTONE 10269 C	95	144	173
PANTONE 10270 C	75	136	172
PANTONE 10271 C	50	127	170
PANTONE 10272 C	14	118	170
PANTONE 10273 C	0	108	170
PANTONE 10274 C	116	159	174
PANTONE 10275 C	93	153	174
PANTONE 10276 C	70	148	175
PANTONE 10277 C	33	142	174
PANTONE 10278 C	0	136	175
PANTONE 10279 C	0	131	177
PANTONE 10280 C	125	159	165
PANTONE 10281 C	105	152	160
PANTONE 10282 C	83	144	154
PANTONE 10283 C	60	137	149
PANTONE 10284 C	27	129	143
PANTONE 10285 C	0	121	137
PANTONE 10286 C	122	164	167
PANTONE 10287 C	101	160	165
PANTONE 10288 C	76	156	162
PANTONE 10289 C	43	153	158
PANTONE 10290 C	0	148	154
PANTONE 10291 C	0	145	150
PANTONE 10437 C	77	115	92
PANTONE 10438 C	79	150	104
PANTONE 10439 C	66	148	123
PANTONE 10440 C	2	135	143
PANTONE 10441 C	1	102	113
PANTONE 10442 C	59	92	98
PANTONE 10292 C	127	169	164
PANTONE 10293 C	109	167	159
PANTONE 10294 C	87	164	153
PANTONE 10295 C	59	162	147
PANTONE 10296 C	0	160	141
PANTONE 10297 C	0	158	135
PANTONE 10298 C	134	163	138
PANTONE 10299 C	119	158	124
PANTONE 10300 C	103	154	111
PANTONE 10301 C	85	149	99
PANTONE 10302 C	68	145	88
PANTONE 10303 C	37	140	75
PANTONE 10304 C	141	165	131
PANTONE 10305 C	129	161	116
PANTONE 10306 C	115	157	102
PANTONE 10307 C	101	153	89
PANTONE 10308 C	86	149	77
PANTONE 10309 C	65	144	63
PANTONE 10310 C	150	160	148
PANTONE 10311 C	136	150	131
PANTONE 10312 C	122	141	116
PANTONE 10313 C	109	131	103
PANTONE 10314 C	96	121	90
PANTONE 10315 C	83	111	78
PANTONE 10316 C	151	169	127
PANTONE 10317 C	141	168	110
PANTONE 10318 C	131	167	95
PANTONE 10319 C	121	165	80
PANTONE 10320 C	109	165	65
PANTONE 10321 C	95	164	48
PANTONE 10322 C	163	171	118
PANTONE 10323 C	158	169	98
PANTONE 10324 C	155	170	83
PANTONE 10325 C	149	168	65
PANTONE 10326 C	144	168	46
PANTONE 10327 C	140	171	25
PANTONE 10328 C	149	158	123
PANTONE 10329 C	140	151	106
PANTONE 10330 C	130	143	91
PANTONE 10331 C	120	135	77
PANTONE 10332 C	110	128	64
PANTONE 10333 C	98	118	53
PANTONE 10334 C	156	152	131
PANTONE 10335 C	149	144	115
PANTONE 10336 C	141	135	101
PANTONE 10337 C	132	125	86
PANTONE 10338 C	122	116	72
PANTONE 10339 C	112	106	58
PANTONE 10340 C	161	150	126
PANTONE 10341 C	155	141	110
PANTONE 10342 C	147	132	94
PANTONE 10343 C	140	122	79
PANTONE 10344 C	131	113	65
PANTONE 10345 C	121	103	52
PANTONE 10346 C	165	149	125
PANTONE 10347 C	161	139	107
PANTONE 10348 C	156	131	93
PANTONE 10349 C	150	123	80
PANTONE 10350 C	142	113	67
PANTONE 10351 C	136	105	53
PANTONE 10352 C	170	159	142
PANTONE 10353 C	168	147	121
PANTONE 10354 C	164	138	102
PANTONE 10355 C	158	127	86
PANTONE 10356 C	153	119	71
PANTONE 10357 C	146	109	57
PANTONE 10358 C	162	144	122
PANTONE 10359 C	157	134	105
PANTONE 10360 C	151	123	89
PANTONE 10361 C	143	112	75
PANTONE 10362 C	134	101	61
PANTONE 10363 C	125	90	50
PANTONE 10364 C	170	152	135
PANTONE 10365 C	167	138	112
PANTONE 10366 C	162	124	92
PANTONE 10367 C	155	112	77
PANTONE 10368 C	148	100	62
PANTONE 10369 C	140	89	50
PANTONE 10370 C	161	152	143
PANTONE 10371 C	152	137	123
PANTONE 10372 C	144	124	107
PANTONE 10373 C	134	111	91
PANTONE 10374 C	122	97	77
PANTONE 10375 C	112	86	65
PANTONE 10376 C	150	138	131
PANTONE 10377 C	140	125	115
